row_index,url,reason,http_status
1,,no_url,
2,,no_url,
3,http://sid.southampton.gov.uk/kb5/southampton/directory/family.page?familychannel=2,host_not_exist,
4,,no_url,
5,,no_url,
6,,no_url,
7,,no_url,
11,www.hertsfamilycentres.org,error_timeout,
12,www.hertsfamilycentres.org,error_timeout,
14,https://www.stockport.gov.uk/childrens-centres/childrens-centre-locations-whats-on,404_not_found,404
15,,no_url,
16,http://www.merton.gov.uk/community/childrenscentres/abbeycc.htm,404_not_found,404
19,,no_url,
20,,no_url,
21,,no_url,
22,,no_url,
23,,no_url,
24,,no_url,
25,,no_url,
26,,no_url,
27,,no_url,
30,,no_url,
31,http://huytonchildrenscentres.co.uk/,host_not_exist,
32,,no_url,
33,,no_url,
34,http://www.actionforchildren.org.uk/our-services/acorns-childrens-centre,404_not_found,404
35,,no_url,
36,,no_url,
37,,no_url,
38,,no_url,
39,,no_url,
40,,no_url,
41,,no_url,
42,,no_url,
44,www.somerset.gov.uk/childrenscentres,404_not_found,404
45,,no_url,
46,www.bracknell-forest.gov.uk/childrenscentres,http_503,503
47,,no_url,
48,,no_url,
49,https://www.boltonfamilyhubs.org.uk/,host_not_exist,
50,,no_url,
51,,no_url,
52,,no_url,
53,,no_url,
54,,no_url,
55,,no_url,
56,www.barnsleychildrenscentres.co.uk,host_not_exist,
57,,no_url,
58,http://www.allsaints.childrencentre.org/,host_not_exist,
59,http://www.actionforchildren.org.uk/our-services/all-seasons-and-seedlings-childrens-centre,404_not_found,404
61,,no_url,
63,https://www.brent.gov.uk/children-young-people-and-families/support-for-parents-and-families/family-wellbeing-centres/alperton-family-wellbeing-centre,http_403,403
64,,no_url,
65,,no_url,
68,www.islington.gov.uk/childrenscentres,404_not_found,404
69,,no_url,
70,,no_url,
72,,no_url,
73,www.sheffield.gov.uk/childrenscentres,http_403,403
74,http://www.eastriding.gov.uk/children-and-families/fish/contact-us/,404_not_found,404
75,,no_url,
76,,no_url,
79,,no_url,
80,,no_url,
81,,no_url,
82,www.islington.gov.uk/childrenscentres,404_not_found,404
86,www.surestartnewcastlecc.org.uk,host_not_exist,
87,,no_url,
88,,no_url,
89,,no_url,
90,,no_url,
92,www.nehalifaxchildrenscentres.org.uk,host_not_exist,
93,http://www.cheshireeast.gov.uk/education_and_learning/children_and_families/childrens_centres/ash_grove_childrens_centre.aspx,404_not_found,404
95,,no_url,
99,,no_url,
100,/www.ashteadchildrenscentre.com,malformed_url,
101,,no_url,
102,,no_url,
103,,no_url,
105,,no_url,
106,,no_url,
107,http://www.atherstoneearlyyearscentre.co.uk/,host_not_exist,
108,,no_url,
111,,no_url,
112,,no_url,
113,http://www.actionforchildren.org.uk/our-services/the-aviary-childrens-centre,404_not_found,404
115,,no_url,
116,,no_url,
117,,no_url,
118,,no_url,
119,,no_url,
120,,no_url,
123,www.hertsfamilycentres.org,error_timeout,
125,www.hertsfamilycentres.org,error_timeout,
127,,no_url,
131,www.blackpool.fsd.org.uk,host_not_exist,
132,,no_url,
133,,no_url,
134,,no_url,
135,,no_url,
136,,no_url,
138,,no_url,
139,,no_url,
140,http://www.bannermanroadcc.com/,host_not_exist,
142,,no_url,
143,,no_url,
145,,no_url,
146,,no_url,
147,,no_url,
148,,no_url,
149,,no_url,
150,,no_url,
151,www.bartonhillchildrenscentre.co.uk,host_not_exist,
152,,no_url,
153,http://www.gloucestershire.gov.uk/bartongatechildrenscentre,404_not_found,404
157,www.essexcentre.info/highcliffe,http_432,432
158,,no_url,
160,http://www.nottinghamcity.gov.uk/article/22087/Basford-Childrens-Centre,404_not_found,404
161,,no_url,
162,,no_url,
163,,no_url,
164,,no_url,
165,,no_url,
166,,no_url,
167,,no_url,
168,,no_url,
169,,no_url,
170,www.blackpool.fsd.org.uk,host_not_exist,
171,,no_url,
173,,no_url,
174,,no_url,
175,,no_url,
176,,no_url,
177,,no_url,
179,www.nyfamilies.info,host_not_exist,
180,,no_url,
181,,no_url,
182,,no_url,
183,www.wigan.gov.uk/services/HealthSocialCare/ChildrenFamilyCentres/ChildrenCentre,404_not_found,404
185,http://www.stmichaelsprimaryschool.co.uk/,host_not_exist,
186,,no_url,
187,,no_url,
188,,no_url,
189,http://www.eastriding.gov.uk/children-and-families/fish/contact-us/,404_not_found,404
190,,no_url,
191,,no_url,
192,,no_url,
194,,no_url,
195,,no_url,
196,,no_url,
197,,no_url,
199,www.belllane.barnet.sch.uk,host_not_exist,
200,,no_url,
202,,no_url,
203,,no_url,
204,,no_url,
205,,no_url,
206,www.salford.gov.uk/belvedere-childrens-centre.htm,404_not_found,404
207,www.islington.gov.uk/childrenscentres,404_not_found,404
209,,no_url,
210,,no_url,
211,,no_url,
212,,no_url,
215,,no_url,
216,,no_url,
218,http://www.nottinghamcity.gov.uk/article/22099/Top-Valley-and-Bestwood-Park-Childrens-Centre,404_not_found,404
219,,no_url,
220,http://www.eastriding.gov.uk/children-and-families/fish/contact-us/,404_not_found,404
221,www.westsussex.gov.uk/bewbushcfc,404_not_found,404
222,,no_url,
223,,no_url,
224,,no_url,
225,,no_url,
226,,no_url,
227,http://www.bromley.gov.uk/info/200071/parental_support/769/bromley_children_project/4,404_not_found,404
228,,no_url,
229,,no_url,
230,,no_url,
231,,no_url,
232,,no_url,
233,www.somerset.gov.uk/childrenscentres,404_not_found,404
234,,no_url,
235,,no_url,
236,,no_url,
237,,no_url,
238,,no_url,
240,,no_url,
241,,no_url,
242,,no_url,
243,www.somerset.gov.uk/childrenscentres,404_not_found,404
245,http://www.gloucestershire.gov.uk/bishopscleevechildrenscentre,404_not_found,404
246,http://www.actionforchildren.org.uk/our-services/badgers-and-home-tree-childrens-centre,404_not_found,404
247,,no_url,
248,,no_url,
249,,no_url,
250,,no_url,
251,http://sid.southampton.gov.uk/kb5/southampton/directory/results.page?qt=&term=&familychannel=2-1,host_not_exist,
252,,no_url,
254,,no_url,
255,,no_url,
258,,no_url,
259,http://www.bromley.gov.uk/info/200071/parental_support/769/bromley_children_project/4,404_not_found,404
260,,no_url,
261,www.blighfederationandchildrenscentre.co.uk,host_not_exist,
262,www.bloomsburynscc.com,host_not_exist,
263,n/a,host_not_exist,
264,,no_url,
265,,no_url,
266,,no_url,
267,,no_url,
268,,no_url,
269,,no_url,
270,http://www.suffolk.gov.uk/EducationAndLearning/Schools/ListOfSuffolkSchools/StantonCPSchool.htm,404_not_found,404
271,www.bluecoat.childrencentre.org,host_not_exist,
274,,no_url,
276,,no_url,
277,,no_url,
278,,no_url,
279,,no_url,
281,www.bournemouth.gov.uk/childrens centres,error_InvalidURL,
282,,no_url,
283,,no_url,
285,,no_url,
286,,no_url,
287,,no_url,
288,,no_url,
289,,no_url,
290,,no_url,
291,www.boxgrovechildrenscentre.co.uk,host_not_exist,
295,,no_url,
296,,no_url,
297,,no_url,
298,,no_url,
299,,no_url,
300,http://www.wokingham.gov.uk/children-youth-education/childrens-centres,404_not_found,404
302,http://www.actionforchildren.org.uk/our-services/branches-childrens-centre,404_not_found,404
303,www.surestartcountydurham.org,host_not_exist,
304,,no_url,
305,www.boroughofpoole.com/familyinformation,host_not_exist,
306,,no_url,
307,,no_url,
308,,no_url,
309,,no_url,
311,,no_url,
312,,no_url,
313,,no_url,
315,,no_url,
316,,no_url,
317,,no_url,
318,,no_url,
320,http://www.eastriding.gov.uk/children-and-families/fish/contact-us/,404_not_found,404
322,,no_url,
323,,no_url,
324,,no_url,
325,,no_url,
326,,no_url,
328,https://www.stockport.gov.uk/childrens-centres/childrens-centre-locations-whats-on,404_not_found,404
329,,no_url,
330,www.bristow.childrencentre.org,host_not_exist,
331,,no_url,
332,,no_url,
333,,no_url,
334,,no_url,
336,,no_url,
337,,no_url,
339,,no_url,
341,,no_url,
342,www.somerset.gov.uk/childrenscentres,404_not_found,404
343,http://www.gloucestershire.gov.uk/brockworthchildrenscentre,404_not_found,404
344,,no_url,
345,,no_url,
347,,no_url,
348,,no_url,
349,http://childrenscentres.dudley.gov.uk/welcome/brierley-hill-area/bromley-pensnett,host_not_exist,
350,http://bromptonwestbrook.medway.sch.uk/surestartintroduction/,404_not_found,404
351,http://www3.hants.gov.uk/childrens-services/sovereign-cc.htm,http_403,403
352,,no_url,
354,,no_url,
355,,no_url,
357,,no_url,
358,,no_url,
359,http://www.broomhillchildrenscentre.ik.org,host_not_exist,
360,,no_url,
361,,no_url,
362,www.nyfamilies.info,host_not_exist,
363,http://www.eastriding.gov.uk/children-and-families/fish/contact-us/,404_not_found,404
365,,no_url,
366,,no_url,
367,,no_url,
368,,no_url,
369,,no_url,
370,,no_url,
371,www.bucklandchildrenscentre.com,host_not_exist,
372,,no_url,
373,,no_url,
374,,no_url,
377,http://www.nottinghamcity.gov.uk/article/22089/Bulwell-Forest-Childrens-Centre,404_not_found,404
378,,no_url,
379,,no_url,
380,www.burhill.surrey.sch.uk/homedir/childrenscentre.htm,404_not_found,404
383,,no_url,
384,,no_url,
385,www.burngreavecc.org/,host_not_exist,
386,,no_url,
387,,no_url,
388,http://www.bromley.gov.uk/info/200071/parental_support/769/bromley_children_project/4,404_not_found,404
389,www.burntoak.childrencentre.org,host_not_exist,
390,,no_url,
391,,no_url,
392,,no_url,
393,,no_url,
394,,no_url,
395,http://www3.hants.gov.uk/childrens-services/bushy-leaze-cfc.htm,http_403,403
396,,no_url,
397,,no_url,
398,http://www.actionforchildren.org.uk/our-services/buttercups-and-bunnies-childrens-centre,404_not_found,404
399,,no_url,
400,http://www.actionforchildren.org.uk/our-services/butterflies-and-dragonflies-childrens-centre,404_not_found,404
401,,no_url,
402,,no_url,
403,,no_url,
404,,no_url,
406,,no_url,
407,n/a,host_not_exist,
410,http://www.actionforchildren.org.uk/our-services/forest-first-and-cadland-childrens-centre,404_not_found,404
411,,no_url,
412,http://www.westberks.gov.uk/index.aspx?articleid=21499,404_not_found,404
413,,no_url,
414,n/a,host_not_exist,
415,,no_url,
416,,no_url,
417,,no_url,
418,,no_url,
419,,no_url,
420,http://www.camphill.childrencentre.org/,host_not_exist,
421,,no_url,
422,www.boroughofpoole.com/childrenscentres,host_not_exist,
423,http://www.staffordshire.gov.uk/education/childcare/families/ccentres/CannockDistrict/cannock/cannock-childrens-centre.aspx,404_not_found,404
424,,no_url,
427,,no_url,
428,,no_url,
429,,no_url,
430,,no_url,
431,,no_url,
432,,no_url,
433,,no_url,
437,,no_url,
438,,no_url,
439,,no_url,
440,,no_url,
441,,no_url,
442,,no_url,
445,,no_url,
446,,no_url,
447,,no_url,
448,,no_url,
449,https://www.actionforchildren.org.uk/in-your-area/services/childrens-centres/catton-fiddlewood-and-mile-cross-childrens-centre/,404_not_found,404
451,,no_url,
452,,no_url,
453,,no_url,
454,,no_url,
455,,no_url,
456,www.nyfamilies.info,host_not_exist,
458,,no_url,
459,,no_url,
460,,no_url,
461,,no_url,
463,,no_url,
464,,no_url,
465,,no_url,
466,http://www.actionforchildren.org.uk/our-services/chamberlayne-childrens-centre,404_not_found,404
467,www.sheffield.gov.uk/childrenscentres,http_403,403
468,http://www.actionforchildren.org.uk/our-services/caterpillar-hill-childrens-centre,404_not_found,404
469,,no_url,
471,,no_url,
472,,no_url,
473,,no_url,
475,www.somerset.gov.uk/childrenscentres,404_not_found,404
476,,no_url,
478,http://www.gloucestershire.gov.uk/charltonkingschildrenscentre,404_not_found,404
479,,no_url,
480,http://www.staffordshire.gov.uk/education/childcare/families/ccentres/LichfieldDistrict/Charnwood/charnwood.aspx,404_not_found,404
482,,no_url,
483,,no_url,
484,http://www.actionforchildren.org.uk/our-services/chase-childrens-centre,404_not_found,404
485,,no_url,
486,,no_url,
487,,no_url,
488,www.essexcentre.info/chelmsfordwest,http_432,432
491,,no_url,
492,N/A,host_not_exist,
493,,no_url,
494,,no_url,
495,,no_url,
496,,no_url,
497,www.halewoodchildrenscentre.co.uk,host_not_exist,
498,,no_url,
499,,no_url,
501,,no_url,
502,,no_url,
503,,no_url,
504,,no_url,
505,,no_url,
506,http://www.eci.org.uk/ChestnutChestnut-Childrens-Centre,404_not_found,404
507,,no_url,
508,,no_url,
509,,no_url,
510,,no_url,
511,www.westsussex.gov.uk/chichestercfc,404_not_found,404
512,,no_url,
513,www.childrenatthecentre.org.uk,host_not_exist,
514,,no_url,
515,,no_url,
516,www.childrenatthecentre.org.uk,host_not_exist,
517,,no_url,
518,,no_url,
519,,no_url,
520,,no_url,
521,,no_url,
522,http://www.actionforchildren.org.uk/our-services/lily-pads-and-the-courtyard-childrens-centre,404_not_found,404
523,http://www.chingfordchildrencentre.org,host_not_exist,
524,www.chinnbrook.co.uk,host_not_exist,
525,,no_url,
526,,no_url,
527,www.chobhamandwestendchildrenscentre,host_not_exist,
528,,no_url,
529,,no_url,
530,,no_url,
531,,no_url,
533,www.surestartcranleigh.co.uk,host_not_exist,
534,,no_url,
535,,no_url,
536,http://churchhillchildren.org,host_not_exist,
537,https://www.brent.gov.uk/children-young-people-and-families/support-for-parents-and-families/family-wellbeing-centres/church-lane-family-wellbeing-centre,http_403,403
538,,no_url,
539,www.westminster.gov.uk/childrenscentre,404_not_found,404
540,,no_url,
544,,no_url,
545,,no_url,
546,,no_url,
547,,no_url,
548,www.blackpool.fsd.org.uk,host_not_exist,
549,,no_url,
551,www.clarendoncc.co.uk,host_not_exist,
552,,no_url,
553,,no_url,
555,,no_url,
556,,no_url,
557,www.nelincs.gov.uk/children-and-families/family-information-service/children'scentres,404_not_found,404
559,,no_url,
560,,no_url,
562,www.nottinghamcity.gov.uk/wtchildrenand_young_people.htm,404_not_found,404
563,n/a,host_not_exist,
566,,no_url,
567,,no_url,
570,www.cobhamcc.org.uk,host_not_exist,
571,,no_url,
572,,no_url,
575,,no_url,
576,www.essexcentre.info/berechurch,http_432,432
577,www.nyfamilies.info,host_not_exist,
578,,no_url,
580,,no_url,
581,,no_url,
582,,no_url,
583,,no_url,
585,,no_url,
586,,no_url,
587,,no_url,
588,,no_url,
589,http://www.bromley.gov.uk/info/200071/parental_support/769/bromley_children_project/4,404_not_found,404
590,,no_url,
591,http://www.compasspoint.ik.org/home.ikml,host_not_exist,
592,www.islington.gov.uk/childrenscentres,404_not_found,404
593,http://www.cheshireeast.gov.uk/education_and_learning/children_and_families/childrens_centres/congleton_childrens_centre.aspx,404_not_found,404
594,,no_url,
595,,no_url,
597,,no_url,
598,,no_url,
599,,no_url,
600,,no_url,
602,,no_url,
603,,no_url,
605,,no_url,
606,,no_url,
607,,no_url,
608,,no_url,
609,,no_url,
610,http://www.bromley.gov.uk/info/200071/parental_support/769/bromley_children_project/4,404_not_found,404
611,,no_url,
